"Date Printed: Monday, August 10, 2026 2:43:04 PM"
Title: "Chlamydia | Gonorrhea | Primary and Secondary Syphilis | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 15-19 | 20-24 | 25-29""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Cases,Rate per 100000
"Chlamydia","2023","Alabama","01","15-19","7,708","2235.0"
"Chlamydia","2023","Alabama","01","20-24","10,201","2993.9"
"Chlamydia","2023","Alabama","01","25-29","4,632","1448.7"
"Gonorrhea","2023","Alabama","01","15-19","2,052","595.0"
"Gonorrhea","2023","Alabama","01","20-24","3,143","922.5"
"Gonorrhea","2023","Alabama","01","25-29","1,867","583.9"
"Primary and Secondary Syphilis","2023","Alabama","01","15-19","66","19.1"
"Primary and Secondary Syphilis","2023","Alabama","01","20-24","232","68.1"
"Primary and Secondary Syphilis","2023","Alabama","01","25-29","273","85.4"
"Chlamydia","2023","Alaska","02","15-19","941","2051.3"
"Chlamydia","2023","Alaska","02","20-24","1,525","3060.0"
"Chlamydia","2023","Alaska","02","25-29","941","1765.6"
"Gonorrhea","2023","Alaska","02","15-19","213","464.3"
"Gonorrhea","2023","Alaska","02","20-24","457","917.0"
"Gonorrhea","2023","Alaska","02","25-29","418","784.3"
"Primary and Secondary Syphilis","2023","Alaska","02","15-19","8","17.4"
"Primary and Secondary Syphilis","2023","Alaska","02","20-24","16","32.1"
"Primary and Secondary Syphilis","2023","Alaska","02","25-29","16","30.0"
"Chlamydia","2023","Arizona","04","15-19","8,482","1707.7"
"Chlamydia","2023","Arizona","04","20-24","13,743","2720.7"
"Chlamydia","2023","Arizona","04","25-29","7,942","1563.0"
"Gonorrhea","2023","Arizona","04","15-19","1,689","340.1"
"Gonorrhea","2023","Arizona","04","20-24","3,228","639.0"
"Gonorrhea","2023","Arizona","04","25-29","2,769","545.0"
"Primary and Secondary Syphilis","2023","Arizona","04","15-19","72","14.5"
"Primary and Secondary Syphilis","2023","Arizona","04","20-24","229","45.3"
"Primary and Secondary Syphilis","2023","Arizona","04","25-29","307","60.4"
"Chlamydia","2023","Arkansas","05","15-19","5,361","2557.0"
"Chlamydia","2023","Arkansas","05","20-24","6,225","3035.7"
"Chlamydia","2023","Arkansas","05","25-29","2,961","1515.4"
"Gonorrhea","2023","Arkansas","05","15-19","1,242","592.4"
"Gonorrhea","2023","Arkansas","05","20-24","1,707","832.4"
"Gonorrhea","2023","Arkansas","05","25-29","1,077","551.2"
"Primary and Secondary Syphilis","2023","Arkansas","05","15-19","42","20.0"
"Primary and Secondary Syphilis","2023","Arkansas","05","20-24","126","61.4"
"Primary and Secondary Syphilis","2023","Arkansas","05","25-29","152","77.8"
"Chlamydia","2023","California","06","15-19","28,627","1097.5"
"Chlamydia","2023","California","06","20-24","60,181","2385.4"
"Chlamydia","2023","California","06","25-29","39,424","1463.8"
"Gonorrhea","2023","California","06","15-19","5,269","202.0"
"Gonorrhea","2023","California","06","20-24","13,572","538.0"
"Gonorrhea","2023","California","06","25-29","14,945","554.9"
"Primary and Secondary Syphilis","2023","California","06","15-19","209","8.0"
"Primary and Secondary Syphilis","2023","California","06","20-24","738","29.3"
"Primary and Secondary Syphilis","2023","California","06","25-29","1,087","40.4"
"Chlamydia","2023","Colorado","08","15-19","5,306","1401.3"
"Chlamydia","2023","Colorado","08","20-24","8,346","2158.8"
"Chlamydia","2023","Colorado","08","25-29","4,892","1098.6"
"Gonorrhea","2023","Colorado","08","15-19","754","199.1"
"Gonorrhea","2023","Colorado","08","20-24","1,418","366.8"
"Gonorrhea","2023","Colorado","08","25-29","1,506","338.2"
"Primary and Secondary Syphilis","2023","Colorado","08","15-19","31","8.2"
"Primary and Secondary Syphilis","2023","Colorado","08","20-24","87","22.5"
"Primary and Secondary Syphilis","2023","Colorado","08","25-29","150","33.7"
"Chlamydia","2023","Connecticut","09","15-19","3,167","1326.8"
"Chlamydia","2023","Connecticut","09","20-24","4,603","1954.4"
"Chlamydia","2023","Connecticut","09","25-29","2,445","1107.1"
"Gonorrhea","2023","Connecticut","09","15-19","620","259.7"
"Gonorrhea","2023","Connecticut","09","20-24","1,007","427.6"
"Gonorrhea","2023","Connecticut","09","25-29","789","357.3"
"Primary and Secondary Syphilis","2023","Connecticut","09","15-19","9","3.8"
"Primary and Secondary Syphilis","2023","Connecticut","09","20-24","42","17.8"
"Primary and Secondary Syphilis","2023","Connecticut","09","25-29","52","23.5"
"Chlamydia","2023","Delaware","10","15-19","1,700","2593.9"
"Chlamydia","2023","Delaware","10","20-24","1,946","3235.2"
"Chlamydia","2023","Delaware","10","25-29","967","1619.7"
"Gonorrhea","2023","Delaware","10","15-19","240","366.2"
"Gonorrhea","2023","Delaware","10","20-24","429","713.2"
"Gonorrhea","2023","Delaware","10","25-29","279","467.3"
"Primary and Secondary Syphilis","2023","Delaware","10","15-19","4","6.1"
"Primary and Secondary Syphilis","2023","Delaware","10","20-24","26","43.2"
"Primary and Secondary Syphilis","2023","Delaware","10","25-29","27","45.2"
"Chlamydia","2023","District of Columbia","11","15-19","1,577","4179.5"
"Chlamydia","2023","District of Columbia","11","20-24","2,048","4297.0"
"Chlamydia","2023","District of Columbia","11","25-29","1,731","2416.9"
"Gonorrhea","2023","District of Columbia","11","15-19","632","1675.0"
"Gonorrhea","2023","District of Columbia","11","20-24","991","2079.3"
"Gonorrhea","2023","District of Columbia","11","25-29","1,299","1813.7"
"Primary and Secondary Syphilis","2023","District of Columbia","11","15-19","7","18.6"
"Primary and Secondary Syphilis","2023","District of Columbia","11","20-24","24","50.4"
"Primary and Secondary Syphilis","2023","District of Columbia","11","25-29","42","58.6"
"Chlamydia","2023","Florida","12","15-19","26,257","2001.5"
"Chlamydia","2023","Florida","12","20-24","36,887","2833.1"
"Chlamydia","2023","Florida","12","25-29","20,532","1523.0"
"Gonorrhea","2023","Florida","12","15-19","7,008","534.2"
"Gonorrhea","2023","Florida","12","20-24","10,899","837.1"
"Gonorrhea","2023","Florida","12","25-29","8,655","642.0"
"Primary and Secondary Syphilis","2023","Florida","12","15-19","207","15.8"
"Primary and Secondary Syphilis","2023","Florida","12","20-24","650","49.9"
"Primary and Secondary Syphilis","2023","Florida","12","25-29","716","53.1"
"Chlamydia","2023","Georgia","13","15-19","19,817","2560.8"
"Chlamydia","2023","Georgia","13","20-24","24,005","3211.9"
"Chlamydia","2023","Georgia","13","25-29","12,236","1654.3"
"Gonorrhea","2023","Georgia","13","15-19","5,827","753.0"
"Gonorrhea","2023","Georgia","13","20-24","8,248","1103.6"
"Gonorrhea","2023","Georgia","13","25-29","5,867","793.2"
"Primary and Secondary Syphilis","2023","Georgia","13","15-19","98","12.7"
"Primary and Secondary Syphilis","2023","Georgia","13","20-24","335","44.8"
"Primary and Secondary Syphilis","2023","Georgia","13","25-29","403","54.5"
"Chlamydia","2023","Hawaii","15","15-19","956","1226.8"
"Chlamydia","2023","Hawaii","15","20-24","2,064","2412.6"
"Chlamydia","2023","Hawaii","15","25-29","1,268","1430.8"
"Gonorrhea","2023","Hawaii","15","15-19","116","148.9"
"Gonorrhea","2023","Hawaii","15","20-24","328","383.4"
"Gonorrhea","2023","Hawaii","15","25-29","346","390.4"
"Primary and Secondary Syphilis","2023","Hawaii","15","15-19","2","2.6"
"Primary and Secondary Syphilis","2023","Hawaii","15","20-24","21","24.5"
"Primary and Secondary Syphilis","2023","Hawaii","15","25-29","24","27.1"
"Chlamydia","2023","Idaho","16","15-19","1,487","984.9"
"Chlamydia","2023","Idaho","16","20-24","2,157","1645.4"
"Chlamydia","2023","Idaho","16","25-29","951","757.9"
"Gonorrhea","2023","Idaho","16","15-19","59","39.1"
"Gonorrhea","2023","Idaho","16","20-24","193","147.2"
"Gonorrhea","2023","Idaho","16","25-29","142","113.2"
"Primary and Secondary Syphilis","2023","Idaho","16","15-19","2","1.3"
"Primary and Secondary Syphilis","2023","Idaho","16","20-24","8","6.1"
"Primary and Secondary Syphilis","2023","Idaho","16","25-29","9","7.2"
"Chlamydia","2023","Illinois","17","15-19","15,986","1922.5"
"Chlamydia","2023","Illinois","17","20-24","23,478","2875.9"
"Chlamydia","2023","Illinois","17","25-29","13,558","1639.8"
"Gonorrhea","2023","Illinois","17","15-19","4,388","527.7"
"Gonorrhea","2023","Illinois","17","20-24","6,142","752.4"
"Gonorrhea","2023","Illinois","17","25-29","5,008","605.7"
"Primary and Secondary Syphilis","2023","Illinois","17","15-19","65","7.8"
"Primary and Secondary Syphilis","2023","Illinois","17","20-24","195","23.9"
"Primary and Secondary Syphilis","2023","Illinois","17","25-29","258","31.2"
"Chlamydia","2023","Indiana","18","15-19","8,884","1875.9"
"Chlamydia","2023","Indiana","18","20-24","11,871","2489.7"
"Chlamydia","2023","Indiana","18","25-29","5,777","1306.4"
"Gonorrhea","2023","Indiana","18","15-19","1,748","369.1"
"Gonorrhea","2023","Indiana","18","20-24","2,608","547.0"
"Gonorrhea","2023","Indiana","18","25-29","1,812","409.8"
"Primary and Secondary Syphilis","2023","Indiana","18","15-19","12","2.5"
"Primary and Secondary Syphilis","2023","Indiana","18","20-24","84","17.6"
"Primary and Secondary Syphilis","2023","Indiana","18","25-29","96","21.7"
"Chlamydia","2023","Iowa","19","15-19","3,486","1538.1"
"Chlamydia","2023","Iowa","19","20-24","4,963","2186.7"
"Chlamydia","2023","Iowa","19","25-29","2,282","1153.3"
"Gonorrhea","2023","Iowa","19","15-19","635","280.2"
"Gonorrhea","2023","Iowa","19","20-24","842","371.0"
"Gonorrhea","2023","Iowa","19","25-29","685","346.2"
"Primary and Secondary Syphilis","2023","Iowa","19","15-19","12","5.3"
"Primary and Secondary Syphilis","2023","Iowa","19","20-24","37","16.3"
"Primary and Secondary Syphilis","2023","Iowa","19","25-29","55","27.8"
"Chlamydia","2023","Kansas","20","15-19","3,572","1696.3"
"Chlamydia","2023","Kansas","20","20-24","4,959","2297.2"
"Chlamydia","2023","Kansas","20","25-29","2,167","1156.3"
"Gonorrhea","2023","Kansas","20","15-19","781","370.9"
"Gonorrhea","2023","Kansas","20","20-24","1,193","552.6"
"Gonorrhea","2023","Kansas","20","25-29","735","392.2"
"Primary and Secondary Syphilis","2023","Kansas","20","15-19","16","7.6"
"Primary and Secondary Syphilis","2023","Kansas","20","20-24","51","23.6"
"Primary and Secondary Syphilis","2023","Kansas","20","25-29","57","30.4"
"Chlamydia","2023","Kentucky","21","15-19","4,458","1514.3"
"Chlamydia","2023","Kentucky","21","20-24","6,032","2033.6"
"Chlamydia","2023","Kentucky","21","25-29","2,844","976.7"
"Gonorrhea","2023","Kentucky","21","15-19","934","317.3"
"Gonorrhea","2023","Kentucky","21","20-24","1,592","536.7"
