fips,state,state_abbr,region,year,disease,age_group,cases,population,rate
01,Alabama,AL,South,2013,Chlamydia,15-29,26044.0,989748.0,2631.4
01,Alabama,AL,South,2013,Gonorrhea,15-29,6841.0,989748.0,691.2
01,Alabama,AL,South,2013,P&S Syphilis,15-29,110.0,989748.0,11.1
01,Alabama,AL,South,2014,Chlamydia,15-29,25353.0,989379.0,2562.5
01,Alabama,AL,South,2014,Gonorrhea,15-29,6172.0,989379.0,623.8
01,Alabama,AL,South,2014,P&S Syphilis,15-29,105.0,989379.0,10.6
01,Alabama,AL,South,2015,Chlamydia,15-29,22975.0,989810.0,2321.2
01,Alabama,AL,South,2015,Gonorrhea,15-29,5795.0,989810.0,585.5
01,Alabama,AL,South,2015,P&S Syphilis,15-29,188.0,989810.0,19.0
01,Alabama,AL,South,2016,Chlamydia,15-29,20438.0,989360.0,2065.8
01,Alabama,AL,South,2016,Gonorrhea,15-29,5691.0,989360.0,575.2
01,Alabama,AL,South,2016,P&S Syphilis,15-29,229.0,989360.0,23.1
01,Alabama,AL,South,2017,Chlamydia,15-29,25960.0,985532.0,2634.1
01,Alabama,AL,South,2017,Gonorrhea,15-29,8939.0,985532.0,907.0
01,Alabama,AL,South,2017,P&S Syphilis,15-29,250.0,985532.0,25.4
01,Alabama,AL,South,2018,Chlamydia,15-29,24639.0,980821.0,2512.1
01,Alabama,AL,South,2018,Gonorrhea,15-29,9518.0,980821.0,970.4
01,Alabama,AL,South,2018,P&S Syphilis,15-29,275.0,980821.0,28.0
01,Alabama,AL,South,2019,Chlamydia,15-29,26709.0,973839.0,2742.7
01,Alabama,AL,South,2019,Gonorrhea,15-29,10614.0,973839.0,1089.9
01,Alabama,AL,South,2019,P&S Syphilis,15-29,340.0,973839.0,34.9
01,Alabama,AL,South,2020,Chlamydia,15-29,22911.0,982074.0,2332.9
01,Alabama,AL,South,2020,Gonorrhea,15-29,10513.0,982074.0,1070.5
01,Alabama,AL,South,2020,P&S Syphilis,15-29,252.0,982074.0,25.7
01,Alabama,AL,South,2021,Chlamydia,15-29,23030.0,977216.0,2356.7
01,Alabama,AL,South,2021,Gonorrhea,15-29,10139.0,977216.0,1037.5
01,Alabama,AL,South,2021,P&S Syphilis,15-29,350.0,977216.0,35.8
01,Alabama,AL,South,2022,Chlamydia,15-29,25473.0,1010670.0,2520.4
01,Alabama,AL,South,2022,Gonorrhea,15-29,9305.0,1010670.0,920.7
01,Alabama,AL,South,2022,P&S Syphilis,15-29,493.0,1010670.0,48.8
01,Alabama,AL,South,2023,Chlamydia,15-29,22541.0,1005338.0,2242.1
01,Alabama,AL,South,2023,Gonorrhea,15-29,7062.0,1005338.0,702.5
01,Alabama,AL,South,2023,P&S Syphilis,15-29,571.0,1005338.0,56.8
02,Alaska,AK,West,2013,Chlamydia,15-29,4636.0,170169.0,2724.4
02,Alaska,AK,West,2013,Gonorrhea,15-29,677.0,170169.0,397.8
02,Alaska,AK,West,2013,P&S Syphilis,15-29,12.0,170169.0,7.1
02,Alaska,AK,West,2014,Chlamydia,15-29,4652.0,169205.0,2749.3
02,Alaska,AK,West,2014,Gonorrhea,15-29,806.0,169205.0,476.3
02,Alaska,AK,West,2014,P&S Syphilis,15-29,8.0,169205.0,4.7
02,Alaska,AK,West,2015,Chlamydia,15-29,4520.0,168164.0,2687.9
02,Alaska,AK,West,2015,Gonorrhea,15-29,683.0,168164.0,406.2
02,Alaska,AK,West,2015,P&S Syphilis,15-29,3.0,168164.0,1.8
02,Alaska,AK,West,2016,Chlamydia,15-29,4457.0,167112.0,2667.1
02,Alaska,AK,West,2016,Gonorrhea,15-29,816.0,167112.0,488.3
02,Alaska,AK,West,2016,P&S Syphilis,15-29,5.0,167112.0,3.0
02,Alaska,AK,West,2017,Chlamydia,15-29,4542.0,164016.0,2769.2
02,Alaska,AK,West,2017,Gonorrhea,15-29,1250.0,164016.0,762.1
02,Alaska,AK,West,2017,P&S Syphilis,15-29,7.0,164016.0,4.3
02,Alaska,AK,West,2018,Chlamydia,15-29,4623.0,160189.0,2886.0
02,Alaska,AK,West,2018,Gonorrhea,15-29,1237.0,160189.0,772.2
02,Alaska,AK,West,2018,P&S Syphilis,15-29,22.0,160189.0,13.7
02,Alaska,AK,West,2019,Chlamydia,15-29,4548.0,156819.0,2900.2
02,Alaska,AK,West,2019,Gonorrhea,15-29,1118.0,156819.0,712.9
02,Alaska,AK,West,2019,P&S Syphilis,15-29,48.0,156819.0,30.6
02,Alaska,AK,West,2020,Chlamydia,15-29,3711.0,153583.0,2416.3
02,Alaska,AK,West,2020,Gonorrhea,15-29,1121.0,153583.0,729.9
02,Alaska,AK,West,2020,P&S Syphilis,15-29,54.0,153583.0,35.2
02,Alaska,AK,West,2021,Chlamydia,15-29,3934.0,151347.0,2599.3
02,Alaska,AK,West,2021,Gonorrhea,15-29,995.0,151347.0,657.4
02,Alaska,AK,West,2021,P&S Syphilis,15-29,67.0,151347.0,44.3
02,Alaska,AK,West,2022,Chlamydia,15-29,3792.0,151750.0,2498.8
02,Alaska,AK,West,2022,Gonorrhea,15-29,1070.0,151750.0,705.1
