fips,state,state_abbr,region,year,disease,age_group,cases,rate,population
01,Alabama,AL,South,2023,Chlamydia,15-19,7708,2235.0,344877
01,Alabama,AL,South,2023,Chlamydia,20-24,10201,2993.9,340726
01,Alabama,AL,South,2023,Chlamydia,25-29,4632,1448.7,319735
01,Alabama,AL,South,2023,Gonorrhea,15-19,2052,595.0,344877
01,Alabama,AL,South,2023,Gonorrhea,20-24,3143,922.5,340726
01,Alabama,AL,South,2023,Gonorrhea,25-29,1867,583.9,319735
01,Alabama,AL,South,2023,P&S Syphilis,15-19,66,19.1,344877
01,Alabama,AL,South,2023,P&S Syphilis,20-24,232,68.1,340726
01,Alabama,AL,South,2023,P&S Syphilis,25-29,273,85.4,319735
02,Alaska,AK,West,2023,Chlamydia,15-19,941,2051.3,45873
02,Alaska,AK,West,2023,Chlamydia,20-24,1525,3060.0,49837
02,Alaska,AK,West,2023,Chlamydia,25-29,941,1765.6,53296
02,Alaska,AK,West,2023,Gonorrhea,15-19,213,464.3,45873
02,Alaska,AK,West,2023,Gonorrhea,20-24,457,917.0,49837
02,Alaska,AK,West,2023,Gonorrhea,25-29,418,784.3,53296
02,Alaska,AK,West,2023,P&S Syphilis,15-19,8,17.4,45873
02,Alaska,AK,West,2023,P&S Syphilis,20-24,16,32.1,49837
02,Alaska,AK,West,2023,P&S Syphilis,25-29,16,30.0,53296
04,Arizona,AZ,West,2023,Chlamydia,15-19,8482,1707.7,496691
04,Arizona,AZ,West,2023,Chlamydia,20-24,13743,2720.7,505127
04,Arizona,AZ,West,2023,Chlamydia,25-29,7942,1563.0,508125
04,Arizona,AZ,West,2023,Gonorrhea,15-19,1689,340.1,496691
04,Arizona,AZ,West,2023,Gonorrhea,20-24,3228,639.0,505127
04,Arizona,AZ,West,2023,Gonorrhea,25-29,2769,545.0,508125
04,Arizona,AZ,West,2023,P&S Syphilis,15-19,72,14.5,496691
04,Arizona,AZ,West,2023,P&S Syphilis,20-24,229,45.3,505127
04,Arizona,AZ,West,2023,P&S Syphilis,25-29,307,60.4,508125
05,Arkansas,AR,South,2023,Chlamydia,15-19,5361,2557.0,209660
05,Arkansas,AR,South,2023,Chlamydia,20-24,6225,3035.7,205060
05,Arkansas,AR,South,2023,Chlamydia,25-29,2961,1515.4,195394
05,Arkansas,AR,South,2023,Gonorrhea,15-19,1242,592.4,209660
05,Arkansas,AR,South,2023,Gonorrhea,20-24,1707,832.4,205060
05,Arkansas,AR,South,2023,Gonorrhea,25-29,1077,551.2,195394
05,Arkansas,AR,South,2023,P&S Syphilis,15-19,42,20.0,209660
05,Arkansas,AR,South,2023,P&S Syphilis,20-24,126,61.4,205060
05,Arkansas,AR,South,2023,P&S Syphilis,25-29,152,77.8,195394
06,California,CA,West,2023,Chlamydia,15-19,28627,1097.5,2608383
06,California,CA,West,2023,Chlamydia,20-24,60181,2385.4,2522889
06,California,CA,West,2023,Chlamydia,25-29,39424,1463.8,2693264
06,California,CA,West,2023,Gonorrhea,15-19,5269,202.0,2608383
06,California,CA,West,2023,Gonorrhea,20-24,13572,538.0,2522889
06,California,CA,West,2023,Gonorrhea,25-29,14945,554.9,2693264
06,California,CA,West,2023,P&S Syphilis,15-19,209,8.0,2608383
06,California,CA,West,2023,P&S Syphilis,20-24,738,29.3,2522889
06,California,CA,West,2023,P&S Syphilis,25-29,1087,40.4,2693264
08,Colorado,CO,West,2023,Chlamydia,15-19,5306,1401.3,378648
08,Colorado,CO,West,2023,Chlamydia,20-24,8346,2158.8,386604
08,Colorado,CO,West,2023,Chlamydia,25-29,4892,1098.6,445294
08,Colorado,CO,West,2023,Gonorrhea,15-19,754,199.1,378648
08,Colorado,CO,West,2023,Gonorrhea,20-24,1418,366.8,386604
08,Colorado,CO,West,2023,Gonorrhea,25-29,1506,338.2,445294
08,Colorado,CO,West,2023,P&S Syphilis,15-19,31,8.2,378648
08,Colorado,CO,West,2023,P&S Syphilis,20-24,87,22.5,386604
08,Colorado,CO,West,2023,P&S Syphilis,25-29,150,33.7,445294
09,Connecticut,CT,Northeast,2023,Chlamydia,15-19,3167,1326.8,238695
09,Connecticut,CT,Northeast,2023,Chlamydia,20-24,4603,1954.4,235520
09,Connecticut,CT,Northeast,2023,Chlamydia,25-29,2445,1107.1,220847
09,Connecticut,CT,Northeast,2023,Gonorrhea,15-19,620,259.7,238695
09,Connecticut,CT,Northeast,2023,Gonorrhea,20-24,1007,427.6,235520
09,Connecticut,CT,Northeast,2023,Gonorrhea,25-29,789,357.3,220847
09,Connecticut,CT,Northeast,2023,P&S Syphilis,15-19,9,3.8,238695
09,Connecticut,CT,Northeast,2023,P&S Syphilis,20-24,42,17.8,235520
09,Connecticut,CT,Northeast,2023,P&S Syphilis,25-29,52,23.5,220847
10,Delaware,DE,South,2023,Chlamydia,15-19,1700,2593.9,65538
10,Delaware,DE,South,2023,Chlamydia,20-24,1946,3235.2,60151
10,Delaware,DE,South,2023,Chlamydia,25-29,967,1619.7,59702
10,Delaware,DE,South,2023,Gonorrhea,15-19,240,366.2,65538
10,Delaware,DE,South,2023,Gonorrhea,20-24,429,713.2,60151
10,Delaware,DE,South,2023,Gonorrhea,25-29,279,467.3,59702
10,Delaware,DE,South,2023,P&S Syphilis,15-19,4,6.1,65538
10,Delaware,DE,South,2023,P&S Syphilis,20-24,26,43.2,60151
10,Delaware,DE,South,2023,P&S Syphilis,25-29,27,45.2,59702
11,District of Columbia,DC,South,2023,Chlamydia,15-19,1577,4179.5,37732
11,District of Columbia,DC,South,2023,Chlamydia,20-24,2048,4297.0,47661
11,District of Columbia,DC,South,2023,Chlamydia,25-29,1731,2416.9,71621
11,District of Columbia,DC,South,2023,Gonorrhea,15-19,632,1675.0,37732
11,District of Columbia,DC,South,2023,Gonorrhea,20-24,991,2079.3,47661
11,District of Columbia,DC,South,2023,Gonorrhea,25-29,1299,1813.7,71621
11,District of Columbia,DC,South,2023,P&S Syphilis,15-19,7,18.6,37732
11,District of Columbia,DC,South,2023,P&S Syphilis,20-24,24,50.4,47661
11,District of Columbia,DC,South,2023,P&S Syphilis,25-29,42,58.6,71621
12,Florida,FL,South,2023,Chlamydia,15-19,26257,2001.5,1311866
12,Florida,FL,South,2023,Chlamydia,20-24,36887,2833.1,1302001
12,Florida,FL,South,2023,Chlamydia,25-29,20532,1523.0,1348129
12,Florida,FL,South,2023,Gonorrhea,15-19,7008,534.2,1311866
12,Florida,FL,South,2023,Gonorrhea,20-24,10899,837.1,1302001
12,Florida,FL,South,2023,Gonorrhea,25-29,8655,642.0,1348129
12,Florida,FL,South,2023,P&S Syphilis,15-19,207,15.8,1311866
12,Florida,FL,South,2023,P&S Syphilis,20-24,650,49.9,1302001
12,Florida,FL,South,2023,P&S Syphilis,25-29,716,53.1,1348129
13,Georgia,GA,South,2023,Chlamydia,15-19,19817,2560.8,773860
13,Georgia,GA,South,2023,Chlamydia,20-24,24005,3211.9,747377
13,Georgia,GA,South,2023,Chlamydia,25-29,12236,1654.3,739648
13,Georgia,GA,South,2023,Gonorrhea,15-19,5827,753.0,773860
13,Georgia,GA,South,2023,Gonorrhea,20-24,8248,1103.6,747377
13,Georgia,GA,South,2023,Gonorrhea,25-29,5867,793.2,739648
13,Georgia,GA,South,2023,P&S Syphilis,15-19,98,12.7,773860
13,Georgia,GA,South,2023,P&S Syphilis,20-24,335,44.8,747377
13,Georgia,GA,South,2023,P&S Syphilis,25-29,403,54.5,739648
15,Hawaii,HI,West,2023,Chlamydia,15-19,956,1226.8,77926
15,Hawaii,HI,West,2023,Chlamydia,20-24,2064,2412.6,85551
15,Hawaii,HI,West,2023,Chlamydia,25-29,1268,1430.8,88622
15,Hawaii,HI,West,2023,Gonorrhea,15-19,116,148.9,77926
15,Hawaii,HI,West,2023,Gonorrhea,20-24,328,383.4,85551
15,Hawaii,HI,West,2023,Gonorrhea,25-29,346,390.4,88622
15,Hawaii,HI,West,2023,P&S Syphilis,15-19,2,2.6,77926
15,Hawaii,HI,West,2023,P&S Syphilis,20-24,21,24.5,85551
15,Hawaii,HI,West,2023,P&S Syphilis,25-29,24,27.1,88622
16,Idaho,ID,West,2023,Chlamydia,15-19,1487,984.9,150980
16,Idaho,ID,West,2023,Chlamydia,20-24,2157,1645.4,131093
16,Idaho,ID,West,2023,Chlamydia,25-29,951,757.9,125478
16,Idaho,ID,West,2023,Gonorrhea,15-19,59,39.1,150980
16,Idaho,ID,West,2023,Gonorrhea,20-24,193,147.2,131093
16,Idaho,ID,West,2023,Gonorrhea,25-29,142,113.2,125478
16,Idaho,ID,West,2023,P&S Syphilis,15-19,2,1.3,150980
16,Idaho,ID,West,2023,P&S Syphilis,20-24,8,6.1,131093
16,Idaho,ID,West,2023,P&S Syphilis,25-29,9,7.2,125478
17,Illinois,IL,Midwest,2023,Chlamydia,15-19,15986,1922.5,831521
17,Illinois,IL,Midwest,2023,Chlamydia,20-24,23478,2875.9,816371
17,Illinois,IL,Midwest,2023,Chlamydia,25-29,13558,1639.8,826808
17,Illinois,IL,Midwest,2023,Gonorrhea,15-19,4388,527.7,831521
17,Illinois,IL,Midwest,2023,Gonorrhea,20-24,6142,752.4,816371
17,Illinois,IL,Midwest,2023,Gonorrhea,25-29,5008,605.7,826808
17,Illinois,IL,Midwest,2023,P&S Syphilis,15-19,65,7.8,831521
17,Illinois,IL,Midwest,2023,P&S Syphilis,20-24,195,23.9,816371
17,Illinois,IL,Midwest,2023,P&S Syphilis,25-29,258,31.2,826808
18,Indiana,IN,Midwest,2023,Chlamydia,15-19,8884,1875.9,473586
18,Indiana,IN,Midwest,2023,Chlamydia,20-24,11871,2489.7,476804
18,Indiana,IN,Midwest,2023,Chlamydia,25-29,5777,1306.4,442208
18,Indiana,IN,Midwest,2023,Gonorrhea,15-19,1748,369.1,473586
18,Indiana,IN,Midwest,2023,Gonorrhea,20-24,2608,547.0,476804
18,Indiana,IN,Midwest,2023,Gonorrhea,25-29,1812,409.8,442208
18,Indiana,IN,Midwest,2023,P&S Syphilis,15-19,12,2.5,473586
18,Indiana,IN,Midwest,2023,P&S Syphilis,20-24,84,17.6,476804
18,Indiana,IN,Midwest,2023,P&S Syphilis,25-29,96,21.7,442208
19,Iowa,IA,Midwest,2023,Chlamydia,15-19,3486,1538.1,226643
19,Iowa,IA,Midwest,2023,Chlamydia,20-24,4963,2186.7,226963
19,Iowa,IA,Midwest,2023,Chlamydia,25-29,2282,1153.3,197867
19,Iowa,IA,Midwest,2023,Gonorrhea,15-19,635,280.2,226643
19,Iowa,IA,Midwest,2023,Gonorrhea,20-24,842,371.0,226963
19,Iowa,IA,Midwest,2023,Gonorrhea,25-29,685,346.2,197867
19,Iowa,IA,Midwest,2023,P&S Syphilis,15-19,12,5.3,226643
19,Iowa,IA,Midwest,2023,P&S Syphilis,20-24,37,16.3,226963
19,Iowa,IA,Midwest,2023,P&S Syphilis,25-29,55,27.8,197867
20,Kansas,KS,Midwest,2023,Chlamydia,15-19,3572,1696.3,210576
20,Kansas,KS,Midwest,2023,Chlamydia,20-24,4959,2297.2,215871
20,Kansas,KS,Midwest,2023,Chlamydia,25-29,2167,1156.3,187408
20,Kansas,KS,Midwest,2023,Gonorrhea,15-19,781,370.9,210576
20,Kansas,KS,Midwest,2023,Gonorrhea,20-24,1193,552.6,215871
20,Kansas,KS,Midwest,2023,Gonorrhea,25-29,735,392.2,187408
20,Kansas,KS,Midwest,2023,P&S Syphilis,15-19,16,7.6,210576
20,Kansas,KS,Midwest,2023,P&S Syphilis,20-24,51,23.6,215871
20,Kansas,KS,Midwest,2023,P&S Syphilis,25-29,57,30.4,187408
21,Kentucky,KY,South,2023,Chlamydia,15-19,4458,1514.3,294393
21,Kentucky,KY,South,2023,Chlamydia,20-24,6032,2033.6,296617
21,Kentucky,KY,South,2023,Chlamydia,25-29,2844,976.7,291185
21,Kentucky,KY,South,2023,Gonorrhea,15-19,934,317.3,294393
21,Kentucky,KY,South,2023,Gonorrhea,20-24,1592,536.7,296617
21,Kentucky,KY,South,2023,Gonorrhea,25-29,1065,365.7,291185
21,Kentucky,KY,South,2023,P&S Syphilis,15-19,17,5.8,294393
21,Kentucky,KY,South,2023,P&S Syphilis,20-24,58,19.6,296617
21,Kentucky,KY,South,2023,P&S Syphilis,25-29,100,34.3,291185
22,Louisiana,LA,South,2023,Chlamydia,15-19,11320,3683.8,307291
22,Louisiana,LA,South,2023,Chlamydia,20-24,12520,4173.9,299959
22,Louisiana,LA,South,2023,Chlamydia,25-29,5755,2017.5,285254
22,Louisiana,LA,South,2023,Gonorrhea,15-19,3188,1037.4,307291
22,Louisiana,LA,South,2023,Gonorrhea,20-24,3931,1310.5,299959
22,Louisiana,LA,South,2023,Gonorrhea,25-29,2256,790.9,285254
22,Louisiana,LA,South,2023,P&S Syphilis,15-19,67,21.8,307291
22,Louisiana,LA,South,2023,P&S Syphilis,20-24,209,69.7,299959
22,Louisiana,LA,South,2023,P&S Syphilis,25-29,233,81.7,285254
23,Maine,ME,Northeast,2023,Chlamydia,15-19,294,362.2,81171
23,Maine,ME,Northeast,2023,Chlamydia,20-24,425,551.7,77035
23,Maine,ME,Northeast,2023,Chlamydia,25-29,173,217.2,79650
23,Maine,ME,Northeast,2023,Gonorrhea,15-19,44,54.2,81171
23,Maine,ME,Northeast,2023,Gonorrhea,20-24,122,158.4,77035
23,Maine,ME,Northeast,2023,Gonorrhea,25-29,96,120.5,79650
23,Maine,ME,Northeast,2023,P&S Syphilis,15-19,1,1.2,81171
23,Maine,ME,Northeast,2023,P&S Syphilis,20-24,5,6.5,77035
23,Maine,ME,Northeast,2023,P&S Syphilis,25-29,8,10.0,79650
24,Maryland,MD,South,2023,Chlamydia,15-19,3879,973.1,398623
24,Maryland,MD,South,2023,Chlamydia,20-24,4877,1330.0,366692
24,Maryland,MD,South,2023,Chlamydia,25-29,2587,684.8,377775
24,Maryland,MD,South,2023,Gonorrhea,15-19,1727,433.2,398623
24,Maryland,MD,South,2023,Gonorrhea,20-24,2289,624.2,366692
24,Maryland,MD,South,2023,Gonorrhea,25-29,1490,394.4,377775
24,Maryland,MD,South,2023,P&S Syphilis,15-19,28,7.0,398623
24,Maryland,MD,South,2023,P&S Syphilis,20-24,128,34.9,366692
24,Maryland,MD,South,2023,P&S Syphilis,25-29,142,37.6,377775
25,Massachusetts,MA,Northeast,2023,Chlamydia,15-19,6215,1374.5,452164
25,Massachusetts,MA,Northeast,2023,Chlamydia,20-24,9880,2062.8,478961
25,Massachusetts,MA,Northeast,2023,Chlamydia,25-29,5454,1141.5,477792
