disease,year,National,Northeast,Midwest,South,West
Chlamydia,2013,1804.027411087699,1637.164060694638,1853.341106232628,1997.1864972255328,1583.808110393582
Chlamydia,2014,1824.4926912170542,1634.8589796152994,1882.1933927115085,2012.312583500341,1620.3309824405578
Chlamydia,2015,1907.208678426192,1704.3207989571742,1938.586141705558,2120.155586328199,1694.2944159285241
Chlamydia,2016,1968.1323470709535,1822.5504103476987,2024.4976619176803,2138.8982635718357,1757.315011053626
Chlamydia,2017,2092.751577156566,1935.9653829456122,2124.516311130829,2275.5767352204994,1890.6712984626358
Chlamydia,2018,2140.352102861108,1978.368706820553,2162.0512873629473,2305.539817768501,1976.6249413466408
Chlamydia,2019,2181.266064249123,2017.0272855993876,2217.2829589025414,2339.475962969127,2016.4196609413875
Chlamydia,2020,1911.0673790228645,1618.8214870284432,1997.5721762195967,2172.366416988374,1632.8611313468443
Chlamydia,2021,1939.8283875386255,1681.4806674221834,1999.8359422562055,2204.1915319116542,1667.066686554541
Chlamydia,2022,1891.4306727257924,1645.0633365062797,1900.0564772376706,2175.2333037706294,1599.2860304907942
Chlamydia,2023,1843.2139084925539,1710.625993338128,1855.726218096662,2054.512748467593,1581.5001507131221
Gonorrhea,2013,377.1164812423239,299.3323878224208,412.35181045536916,479.86836932985943,244.25439056399387
Gonorrhea,2014,385.9452213416952,289.80194052835407,399.9318248341421,483.74423967786964,291.6751017981955
Gonorrhea,2015,422.40742224765864,312.8433558791491,425.43906208502074,528.7197484031893,332.8176075076234
Gonorrhea,2016,481.40193361647954,351.0781519224321,510.504786764375,583.870590232619,388.91616861852094
Gonorrhea,2017,557.2028165476745,406.1173933560867,593.5315922916892,672.1909974039045,452.47719946672953
Gonorrhea,2018,570.1195857694,428.1218572167289,627.160668685758,664.6855822343304,472.31617829439466
Gonorrhea,2019,591.2641773728144,443.2207511504962,659.9145789820515,690.070935673259,480.14830304777496
Gonorrhea,2020,655.6028962051654,471.70241655006504,769.3520563395,786.1900660364046,482.6441432610825
Gonorrhea,2021,667.0084305815504,489.36107244242703,709.2519653461434,820.2433364235272,521.638160233447
Gonorrhea,2022,584.5679486315663,455.9868171133418,582.183602123678,731.7246010114523,439.517881096797
Gonorrhea,2023,524.9492846239099,462.51068783133104,507.09074432806017,649.2345983988965,381.9666636196615
P&S Syphilis,2013,12.000255338664301,9.280253033325826,9.875003430353257,14.20699588314084,12.406313190969396
P&S Syphilis,2014,14.048265563220054,11.674716856766608,10.361494210157964,17.04272251811026,14.315263120129789
P&S Syphilis,2015,16.754354146836885,14.779834464788575,10.760511833863216,20.113544614162308,18.10777808202403
P&S Syphilis,2016,19.059628213085052,17.60984551355837,12.974062868162427,21.697925283293465,21.182562502292416
P&S Syphilis,2017,20.82440277384761,17.54825788410889,14.166543178268531,23.34941156175087,24.838022502920712
P&S Syphilis,2018,23.304341160682156,18.5675195664235,16.125966146192713,25.85702958841719,28.679672592476333
P&S Syphilis,2019,24.690761656338058,20.488639060195673,16.273420671678362,27.3548913290675,30.536806846699882
P&S Syphilis,2020,25.470447467825714,20.555788700331828,18.123684127943527,28.752431334172034,30.059641111739133
P&S Syphilis,2021,30.764908546898972,23.26164828320727,25.05184361372675,34.72456081910548,34.85052393795563
P&S Syphilis,2022,31.301306164770253,23.92928230086124,25.036203449981993,36.95522578103248,32.67434811802225
P&S Syphilis,2023,27.705458000776087,18.765147212046074,21.470076109520814,34.87100679768808,27.584421462422316
